label,review
0,淡而无味，没有虾的香味
0,秘制凉皮很难吃，很失望，混沌也不建议点，味道不怎么样
1,"啊吃完一股香菇味久久萦绕无法散去,南瓜粥不甜"
1,不错，外卖小哥挺好玩的，东西不错，我觉得肘子的好吃！就是粥吧，有一根很短的头发。
0,食物很好吃配送很烂很烂，足足等了快两个小时，说什么电脑坏了没看到单子，那请问怎么接单的呢？忘了就是忘了还找借口，烂上加烂
0,俩小时才送到。两份粥才给1个勺。逗我呢
1,味道不错，下次再订。
0,大排性价比不高
0,肉有一股刷锅水的味道，希望下次注意
0,骑士送餐很快，饭菜太难吃
0,一多半是空壳！怀疑把吃剩下的给我了
0,坑爹，一点不好吃，想被坑的就来点吧，这种店只会坑我一次，菜一点油都没，这种店注定不会长久。。
1,很好吃，也很快，非常不错，要是酱香鸡腿卷中的蔬菜可以多点就更好了！
1,简直太好吃，不过我弄了一裤子油TAT皮蛋瘦肉粥棒棒哒！
0,"还可以吧,味道可以再辣点"
1,"好吃,就是每次粥送来都有点凉"
1,整体口味偏淡
1,好方便，用了代金券比去店里买还划算
0,肘子就是几块猪肉，光有情怀有啥用~
0,不好吃，没味道，没有餐盒拿个袋子装给我，还要餐盒费，哎...
1,味道很不错，快递也给力
1,很棒的哦，第二次订餐了
1,煎饼还是得现做现吃，豆腐脑非常好吃！
1,配送超级到位，配送员认真负责
0,超级难吃，最差的外卖
0,今天送的很差…铁板煎鸡碎散，分量不足，并且菜特别少…
0,辛苦送餐小哥了！菜量太小了~100多块钱都没有吃饱，鸭血小的都找不到，总之不值~
0,很差，时间太短了，不好吃，
0,我擦，怎么会有好评的，炒菜还没有食堂一勺的量，抢钱么
1,价格实惠，很好，值得购买。
0,没勺没筷子怎么吃
0,"送餐速度还可以，就是没有番茄酱！！！！！！！！,没有甜辣酱！！！！,没有餐巾纸！！！！！卖家能不能上点心，真是不负责任，差评！！！！！！"
1,味道很好又订的挺好吃
1,还好吧。饼的口味差点儿
0,口味还行吧。。。就是送餐太慢太慢太慢了。。2个小时啊。。
0,"1.送货奇慢，已经慢近了45min,2.我点的套餐，结果比单点就多一个可乐，但是多了8块钱，就是罐可乐8块钱，坑！！！,3.味道都凉了，真的不好吃！！！,总之烂！！！！！"
1,"很好吃,包装也很高大上,惊喜"
0,给的豆皮果然多，只是肉变少了
0,牛肉都碎了，比较咸。
0,慢啊慢！！！十点10定的餐，十二点半不催还不来！服务态度不错就是慢！不饿的就可以慢慢等！蔬菜卷蔬菜太少，全是洋葱！！！包装还行…可有啥用呢？华而不实！
1,快递师傅很好，饭也不错，味道不错，尤其量也足，那米饭给的，都吃不了，太少见了
0,竟然需要90分钟才到！
0,试过了大大小小的品种，煎饼品质比较统一，基本都好吃。凉面真的不好吃，抄手的汤太咸，因为外卖路上耽搁，整盒抄手已经全被酱汁泡成深色，非常咸。这两样品质配合15和18的价格让人感觉贵的不值得，严重不推荐。外卖路上会有颠簸可能会流出汤汁，但这次点的有点夸张，抄手的红油酱汁流得袋子里全是，纸巾全湿透，勺子和湿纸巾外包装上也都挂了辣油。如果有客人在外面用餐周围没有东西擦拭，一定会很影响用餐。建议配送环节再优化。
0,送餐很快，菜像剩的，食材感觉用的都是边角料。
0,我定的是酸萝卜鸡胗饭，请问老板，我的酸萝卜在哪里，一块都没有看到，米饭特别干
1,非常好吃也很快
0,"十一点订的餐送五十分钟，领了餐之后五分钟不到的路走了二十分钟……真是拉慢骑士水平，不好意思不能给好评了。,第一次订，也是最后一次。本来想吃煎饺的，这煎得是个什么玩意，油都舍不得放，就在锅里面过了一遍就拿出来了。这样的一餐花了三十多，我也是脑子发热。"
0,身为东北人真是第一次吃到这么难吃的东北菜啊！得莫利炖鱼里的白菜有一股羊肉膻味，不知道是咋回事，挨着鱼头的地方还带着血，恶心死了，而且鱼头去掉鱼鳃的地方是黑的。压锅排骨油豆角还可以，但是排骨是真心就吃到一块，偶尔有几块大梁骨，味道倒是还可以，中规中矩的。
0,"百度外卖应该叫蜗牛外卖！太慢了！送过来是凉皮里汤水都已经侧漏光啦！南瓜饼压大一圈！,就酱紫。"
1,同在五道口就是送得快，不过好像去年买的时候这个价钱可以买套餐了，虽然就差一碗粥
0,饮料都洒了，把汉堡袋子都打湿了，外卖员还让我看有没有问题，薯条撒了一地，本来要申诉，要不是看在外卖员是一个年龄挺大的大叔，就算了。百度外卖对外卖员是不是该统一培训一下？
0,菜量非常少，是给小孩准备的吗？？
1,尖椒土豆丝不好吃，别的都不错
1,"外卖大哥超级好,披萨也不错"
0,订的11:45的餐，结果11:30就到了。最主要是两份饺子没有料，连筷子也没有，建议店主改进下。另外，扁豆丝盖饭味道有点甜，不太好吃
1,"好吃,满意"
0,菜很好吃，就是真的送了2个小时，还想着错过高峰期10点多一点就点了餐，结果……
0,饭好难吃啊
0,没见过这么慢的。十点下单，11点半才开始送餐。12点送到已经冷了。简直是花钱买罪受。
0,送到之后面基本不能吃了
0,味道可以，但是配送服务不好，取消订单了也没有电话通知，等了很久
1,很快很好。谢谢。辛苦了。
0,3次了，就不给餐具的？！
0,汤撒了，不知是一开始就没盖好还是后来晃的，另外没有餐具，这个肯定是一开始就没放
0,太鸡巴坑人了，四角小饼够鸡吧谁吃，备注还写了饼稍微多点，草，赶紧倒闭吧
0,"我说的不要辣，意思就是如果要加辣椒你就换成别的青菜，真是妈的辣死我了,，我有肠胃炎，不能吃辣，而且吃辣椒咳嗽。"
0,盖饭洒了，面也洒了成一坨不能吃了，最失败的一次订餐
0,确定这就是炒乌冬面么？疯了
1,送餐真的不快，鱼香肉丝的不错～
0,少收一家钱就直说.还尼玛说都没给钱.放下东西就走了.你当人都是傻逼呢是么.现在百度外卖真心不能用了.要么给假钱.现在又想多收钱.你是没见过钱么.
0,9点58分订的餐12点15才送来！头一次碰到这么差的服务！不要了！
0,卷饼一直不错，可是那粥实在是太差了。比稀饭还不如，以后还是不要卖粥了吧，拉低了菜品质量。
0,送的速度挺快的，态度也不错。菜的质量还可以吧，蔬菜不是特别多，但是用了券价钱很合适。
0,送的倒是真速度～可是勺也没给餐巾纸也没有-_-#…以后不点这家了…面不好吃～一股子很不新鲜的味道…鸡腿也是闻起来不新鲜…酒糟小汤圆好马马虎虎…
0,难吃，用照片欺骗人，天气这么好，不按时间送。
0,下单一个小时！！！还没有人接单！！！！！！！！而且取消订单非得要打电话！！！！什么傻逼规矩！！！！！！！！！！！！！！
0,洒的很厉害，然后两杯咖啡不给杯示，根本分不清啊，卡布的奶泡本来应该很多，都洒了，跟拿铁一样了，囧
1,不油腻，好吃。陪米饭
1,"飞速,南瓜粥没了换了皮蛋瘦肉也ok吧"
1,挺好，就是薯蓉太干了
0,我都疯了。这一碗辣椒怎么吃。。。
0,关于送餐，速度我已经无力吐槽了！！！一个半小时，一个半小时，一个半小时……
0,真的很慢，等了一个半小时，饭都凉了，味道还可以。
0,"太难吃了,.."
0,牛肉由肉片变成了肉块，很不好嚼。
0,忘装海带丝，投诉！
0,"我能说我没有吃过这么。。。。算了一人一口味,等了一个多小时真的太失望了。第一次吃也是最后一次了。。。"
0,脆皮蛋卷没放！！！
0,第一次定好吃，挺干净的
0,送餐太慢了。。10点多订的，现在还没送到。。。。
0,"买了这几次的面都不好吃。都糊掉了的,猪手挺好吃的"
0,两个小时送到，够够的了！！！再也不会点这家了！！
0,配送的人态度太差！投诉！
1,很快，不过
0,"汤的味道还行,就是送餐小哥第一次来这边,用了很长时间"
1,估计是太远，不过味道倒是令人惊喜啊
1,粥有些腥，饼有点腻
0,真的佩服的五体投地什么人吧
0,送来的咖啡封口开着，洒了好多
0,铁板烧汁茄子味道真心不错！宫保鸡丁做的太甜了。水煮肉片味道还凑合，但是肉质太干！
1,回锅肉分量很足！很不错！
0,订两份送一份，第二份等了四十分钟也没送
1,"很准时,服务好,就是这份南瓜粥,有点奇怪的味道"
0,商家服务差超差，要的细米线送来的是粗的，要求退换，给打电话竟然说忙顾不上，还挂电话。在送来的也是坨的，而且还超级咸，是故意的吗？以后不会在点了。
1,好大一个饼
0,菜品做的也就那样，水果沙拉基本上都是梨，汤没味，感觉像是前一天剩的又加水煮的。
0,干净卫生个人感觉不错
0,小炒肉整成回锅肉~~~~~、
0,送来的肉丝炒饼是凉的商家的价格不同
0,"把我点的菜都给忘了,10.30下的单,12点10才到,我能说什么呢"
0,"我明确的写了发票信息,结果送餐的硬说我没要开发票,订的是30的套餐,但是送来的盒子上面贴的是12块钱的标签,如果按照价格来说应该是20的套餐,因为不是本人吃的,具体也没问是几荤几素,因为是后来才发现的,就懒得找麻烦了,总体感觉不太好"
0,可能天热放坏了，吃完晚上拉肚子了。卖相也没有店里的好。
1,好吃，清淡不油腻
1,速度超级快！百度外卖超好用！
1,今天的牛肉烧烤饭，感觉牛肉有些不新鲜，送餐员的速度还是很快的。
0,"速度很快，表扬！,但是口味太淡，饭菜也凉了。"
0,皮蛋瘦肉粥点了两份送了一份。撒的袋子里都是。
0,"真泥马难吃。没有酱。一星都不想给,送的又慢"
1,好香啊，就是稍微有一点辣
1,送餐迅速，味道好。
0,"菜少水少,什么都给的特别少"
0,定了一份菜一份饭，结果快递送来两份一样的菜，酱油炒饭没送。可真够粗心的
1,超级好吃~明天还定~
1,"速度挺快的,赞一下"
1,够爽，好吃，一个人吃有点多
1,蔬菜稍微有点咸。。。。。
1,好吃实惠速度！
1,"漏发了一个泡菜,店家很快联系补发了,服务很好"
0,太少了，欺负谁呢
0,简直太难吃了
1,"手工花卷真的是不错,有小时候的味道"
0,太过分了，没听说订餐还得要求一并送筷子的，没要求就没有。没筷子怎么吃啊，真服了，以后再也不定了，真过分！
0,慢死了！！！！！！不怕饿死的可以订……
0,"粥里面都是虫子,一碗粥里面找出五只虫子，给店方打电话还说不可能,，我有照片！！！"
0,吃饭时候都已经饿死了！！！
0,根本就没给我送到，让我等一下午。
0,送来的太晚，而且备注了不要辣，结果超辣
1,"饼好吃,送餐师傅也特好,送餐师傅辛苦啦"
0,东西有些小贵。
0,十分不理解为什么要用塑料袋直接装，看到都没有胃口了。想剩菜一样……
1,"非常好吃,量也大,送餐小哥工作认真负责,棒棒哒~"
0,饭量有点少
1,油稍微大点。总体还是不错的
0,简直不能更糟糕！！！汤汁流得到处都是，并且图片与实物差太多！纯素卷里根本没有绿色蔬菜
0,慢，没带餐具，饭到我这就是快凉了
0,今天这个送餐的让我太无语了，电话接通就喊“出来拿外卖”。我30秒不到走出去就没人了，一看外卖在楼道内垃圾桶上放着。永远不会再订这家了，太差劲！！！
1,百度骑士人好速度快！
1,道菜的味道还可以，配送很好，服务很好。
0,辣白菜五花肉饭，一共只有3块半肉，全是辣酱，比第一次订差了十万八千里，到底有没有标准，这样的饭这个价太没天理
1,送的超级快~~~京酱肉丝卷好好吃
1,还可以，就是米饭偏硬了点
1,一直吃他家湘菜～味道正宗。
1,非常贴心，送餐四十分钟，小哥沟通四秒钟，飞一样的小哥。说还有好多没送。下次再定。
0,除了速度慢，其他都挺好。速度忒慢了，等了一个小时二十分钟。
0,质量不好，量挺多，味道一般
1,分量比较足，但是稍微咸了一点
1,外卖给力煎饼非常给力
0,"世界上最难吃的,羊肉泡馍,卖盐的欠他们家钱。肯定打死的。"
1,煎饼好吃！！！
0,太慢了！没见过这么慢的，11点之前就下单了，足足等了2个小时才送来，饭都凉了！
1,还好吧，在家能吃到爱吃的早点，比较卫生，就是时间长了些，味道不那么好了，不过店家多送了一杯豆浆
0,花蛤和嗦螺里面有沙，没弄干净，味道也怪怪的，不知道食材是不是新鲜的
1,好吃还有优惠
0,根本没有送
0,有点淡，送货速度胎慢了
1,"味道不错,难得的煎饼果子"
1,"快递小哥很辛苦,下着大雪,还辛苦的工作,必须赞,好评"
1,送餐包装很不错，而且送餐很快很及时。要了肘子卷饼和南瓜粥。卷饼味道不错就是尖椒偏多，如果是黄瓜之类的觉得更好。粥有一点凉了，总体很赞！
0,真没有品味多的好吃。
